date,date,value
1970-01-01 00:00:00.000000198,2007-12-01,210.036
1970-01-01 00:00:00.000000199,2007-11-01,210.177
1970-01-01 00:00:00.000000200,2007-10-01,208.936
1970-01-01 00:00:00.000000201,2007-09-01,208.490
1970-01-01 00:00:00.000000202,2007-08-01,207.917
1970-01-01 00:00:00.000000203,2007-07-01,208.299
1970-01-01 00:00:00.000000204,2007-06-01,208.352
1970-01-01 00:00:00.000000205,2007-05-01,207.949
1970-01-01 00:00:00.000000206,2007-04-01,206.686
1970-01-01 00:00:00.000000207,2007-03-01,205.352
1970-01-01 00:00:00.000000208,2007-02-01,203.499
1970-01-01 00:00:00.000000209,2007-01-01,202.416
1970-01-01 00:00:00.000000210,2006-12-01,201.8
1970-01-01 00:00:00.000000211,2006-11-01,201.5
1970-01-01 00:00:00.000000212,2006-10-01,201.8
1970-01-01 00:00:00.000000213,2006-09-01,202.9
1970-01-01 00:00:00.000000214,2006-08-01,203.9
1970-01-01 00:00:00.000000215,2006-07-01,203.5
1970-01-01 00:00:00.000000216,2006-06-01,202.9
1970-01-01 00:00:00.000000217,2006-05-01,202.5
1970-01-01 00:00:00.000000218,2006-04-01,201.5
1970-01-01 00:00:00.000000219,2006-03-01,199.8
1970-01-01 00:00:00.000000220,2006-02-01,198.7
1970-01-01 00:00:00.000000221,2006-01-01,198.3
1970-01-01 00:00:00.000000222,2005-12-01,196.8
1970-01-01 00:00:00.000000223,2005-11-01,197.6
1970-01-01 00:00:00.000000224,2005-10-01,199.2
1970-01-01 00:00:00.000000225,2005-09-01,198.8
1970-01-01 00:00:00.000000226,2005-08-01,196.4
1970-01-01 00:00:00.000000227,2005-07-01,195.4
1970-01-01 00:00:00.000000228,2005-06-01,194.5
1970-01-01 00:00:00.000000229,2005-05-01,194.4
1970-01-01 00:00:00.000000230,2005-04-01,194.6
1970-01-01 00:00:00.000000231,2005-03-01,193.3
1970-01-01 00:00:00.000000232,2005-02-01,191.8
1970-01-01 00:00:00.000000233,2005-01-01,190.7
1970-01-01 00:00:00.000000234,2004-12-01,190.3
1970-01-01 00:00:00.000000235,2004-11-01,191.0
1970-01-01 00:00:00.000000236,2004-10-01,190.9
1970-01-01 00:00:00.000000237,2004-09-01,189.9
1970-01-01 00:00:00.000000238,2004-08-01,189.5
1970-01-01 00:00:00.000000239,2004-07-01,189.4
1970-01-01 00:00:00.000000240,2004-06-01,189.7
1970-01-01 00:00:00.000000241,2004-05-01,189.1
1970-01-01 00:00:00.000000242,2004-04-01,188.0
1970-01-01 00:00:00.000000243,2004-03-01,187.4
1970-01-01 00:00:00.000000244,2004-02-01,186.2
1970-01-01 00:00:00.000000245,2004-01-01,185.2
1970-01-01 00:00:00.000000246,2003-12-01,184.3
1970-01-01 00:00:00.000000247,2003-11-01,184.5
1970-01-01 00:00:00.000000248,2003-10-01,185.0
1970-01-01 00:00:00.000000249,2003-09-01,185.2
1970-01-01 00:00:00.000000250,2003-08-01,184.6
1970-01-01 00:00:00.000000251,2003-07-01,183.9
1970-01-01 00:00:00.000000252,2003-06-01,183.7
1970-01-01 00:00:00.000000253,2003-05-01,183.5
1970-01-01 00:00:00.000000254,2003-04-01,183.8
1970-01-01 00:00:00.000000255,2003-03-01,184.2
1970-01-01 00:00:00.000000256,2003-02-01,183.1
1970-01-01 00:00:00.000000257,2003-01-01,181.7
1970-01-01 00:00:00.000000258,2002-12-01,180.9
1970-01-01 00:00:00.000000259,2002-11-01,181.3
1970-01-01 00:00:00.000000260,2002-10-01,181.3
1970-01-01 00:00:00.000000261,2002-09-01,181.0
1970-01-01 00:00:00.000000262,2002-08-01,180.7
1970-01-01 00:00:00.000000263,2002-07-01,180.1
1970-01-01 00:00:00.000000264,2002-06-01,179.9
1970-01-01 00:00:00.000000265,2002-05-01,179.8
1970-01-01 00:00:00.000000266,2002-04-01,179.8
1970-01-01 00:00:00.000000267,2002-03-01,178.8
1970-01-01 00:00:00.000000268,2002-02-01,177.8
1970-01-01 00:00:00.000000269,2002-01-01,177.1
1970-01-01 00:00:00.000000270,2001-12-01,176.7
1970-01-01 00:00:00.000000271,2001-11-01,177.4
1970-01-01 00:00:00.000000272,2001-10-01,177.7
1970-01-01 00:00:00.000000273,2001-09-01,178.3
1970-01-01 00:00:00.000000274,2001-08-01,177.5
1970-01-01 00:00:00.000000275,2001-07-01,177.5
1970-01-01 00:00:00.000000276,2001-06-01,178.0
1970-01-01 00:00:00.000000277,2001-05-01,177.7
1970-01-01 00:00:00.000000278,2001-04-01,176.9
1970-01-01 00:00:00.000000279,2001-03-01,176.2
1970-01-01 00:00:00.000000280,2001-02-01,175.8
1970-01-01 00:00:00.000000281,2001-01-01,175.1
1970-01-01 00:00:00.000000282,2000-12-01,174.0
1970-01-01 00:00:00.000000283,2000-11-01,174.1
1970-01-01 00:00:00.000000284,2000-10-01,174.0
1970-01-01 00:00:00.000000285,2000-09-01,173.7
1970-01-01 00:00:00.000000286,2000-08-01,172.8
1970-01-01 00:00:00.000000287,2000-07-01,172.8
1970-01-01 00:00:00.000000288,2000-06-01,172.4
1970-01-01 00:00:00.000000289,2000-05-01,171.5
1970-01-01 00:00:00.000000290,2000-04-01,171.3
1970-01-01 00:00:00.000000291,2000-03-01,171.2
1970-01-01 00:00:00.000000292,2000-02-01,169.8
1970-01-01 00:00:00.000000293,2000-01-01,168.8
1970-01-01 00:00:00.000000294,1999-12-01,168.3
1970-01-01 00:00:00.000000295,1999-11-01,168.3
1970-01-01 00:00:00.000000296,1999-10-01,168.2
1970-01-01 00:00:00.000000297,1999-09-01,167.9
1970-01-01 00:00:00.000000298,1999-08-01,167.1
1970-01-01 00:00:00.000000299,1999-07-01,166.7
