date,date,value
1970-01-01 00:00:00.000000193,2008-06-01,4.10
1970-01-01 00:00:00.000000194,2008-05-01,3.88
1970-01-01 00:00:00.000000195,2008-04-01,3.68
1970-01-01 00:00:00.000000196,2008-03-01,3.51
1970-01-01 00:00:00.000000197,2008-02-01,3.74
1970-01-01 00:00:00.000000198,2008-01-01,3.74
1970-01-01 00:00:00.000000199,2007-12-01,4.10
1970-01-01 00:00:00.000000200,2007-11-01,4.15
1970-01-01 00:00:00.000000201,2007-10-01,4.53
1970-01-01 00:00:00.000000202,2007-09-01,4.52
1970-01-01 00:00:00.000000203,2007-08-01,4.67
1970-01-01 00:00:00.000000204,2007-07-01,5.00
1970-01-01 00:00:00.000000205,2007-06-01,5.10
1970-01-01 00:00:00.000000206,2007-05-01,4.75
1970-01-01 00:00:00.000000207,2007-04-01,4.69
1970-01-01 00:00:00.000000208,2007-03-01,4.56
1970-01-01 00:00:00.000000209,2007-02-01,4.72
1970-01-01 00:00:00.000000210,2007-01-01,4.76
1970-01-01 00:00:00.000000211,2006-12-01,4.56
1970-01-01 00:00:00.000000212,2006-11-01,4.60
1970-01-01 00:00:00.000000213,2006-10-01,4.73
1970-01-01 00:00:00.000000214,2006-09-01,4.72
1970-01-01 00:00:00.000000215,2006-08-01,4.88
1970-01-01 00:00:00.000000216,2006-07-01,5.09
1970-01-01 00:00:00.000000217,2006-06-01,5.11
1970-01-01 00:00:00.000000218,2006-05-01,5.11
1970-01-01 00:00:00.000000219,2006-04-01,4.99
1970-01-01 00:00:00.000000220,2006-03-01,4.72
1970-01-01 00:00:00.000000221,2006-02-01,4.57
1970-01-01 00:00:00.000000222,2006-01-01,4.42
1970-01-01 00:00:00.000000223,2005-12-01,4.47
1970-01-01 00:00:00.000000224,2005-11-01,4.54
1970-01-01 00:00:00.000000225,2005-10-01,4.46
1970-01-01 00:00:00.000000226,2005-09-01,4.20
1970-01-01 00:00:00.000000227,2005-08-01,4.26
1970-01-01 00:00:00.000000228,2005-07-01,4.18
1970-01-01 00:00:00.000000229,2005-06-01,4.00
1970-01-01 00:00:00.000000230,2005-05-01,4.14
1970-01-01 00:00:00.000000231,2005-04-01,4.34
1970-01-01 00:00:00.000000232,2005-03-01,4.50
1970-01-01 00:00:00.000000233,2005-02-01,4.17
1970-01-01 00:00:00.000000234,2005-01-01,4.22
1970-01-01 00:00:00.000000235,2004-12-01,4.23
1970-01-01 00:00:00.000000236,2004-11-01,4.19
1970-01-01 00:00:00.000000237,2004-10-01,4.10
1970-01-01 00:00:00.000000238,2004-09-01,4.13
1970-01-01 00:00:00.000000239,2004-08-01,4.28
1970-01-01 00:00:00.000000240,2004-07-01,4.50
1970-01-01 00:00:00.000000241,2004-06-01,4.73
1970-01-01 00:00:00.000000242,2004-05-01,4.72
1970-01-01 00:00:00.000000243,2004-04-01,4.35
1970-01-01 00:00:00.000000244,2004-03-01,3.83
1970-01-01 00:00:00.000000245,2004-02-01,4.08
1970-01-01 00:00:00.000000246,2004-01-01,4.15
1970-01-01 00:00:00.000000247,2003-12-01,4.27
1970-01-01 00:00:00.000000248,2003-11-01,4.30
1970-01-01 00:00:00.000000249,2003-10-01,4.29
1970-01-01 00:00:00.000000250,2003-09-01,4.27
1970-01-01 00:00:00.000000251,2003-08-01,4.45
1970-01-01 00:00:00.000000252,2003-07-01,3.98
1970-01-01 00:00:00.000000253,2003-06-01,3.33
1970-01-01 00:00:00.000000254,2003-05-01,3.57
1970-01-01 00:00:00.000000255,2003-04-01,3.96
1970-01-01 00:00:00.000000256,2003-03-01,3.81
1970-01-01 00:00:00.000000257,2003-02-01,3.90
1970-01-01 00:00:00.000000258,2003-01-01,4.05
1970-01-01 00:00:00.000000259,2002-12-01,4.03
1970-01-01 00:00:00.000000260,2002-11-01,4.05
1970-01-01 00:00:00.000000261,2002-10-01,3.94
1970-01-01 00:00:00.000000262,2002-09-01,3.87
1970-01-01 00:00:00.000000263,2002-08-01,4.26
1970-01-01 00:00:00.000000264,2002-07-01,4.65
1970-01-01 00:00:00.000000265,2002-06-01,4.93
1970-01-01 00:00:00.000000266,2002-05-01,5.16
1970-01-01 00:00:00.000000267,2002-04-01,5.21
1970-01-01 00:00:00.000000268,2002-03-01,5.28
1970-01-01 00:00:00.000000269,2002-02-01,4.91
1970-01-01 00:00:00.000000270,2002-01-01,5.04
1970-01-01 00:00:00.000000271,2001-12-01,5.09
1970-01-01 00:00:00.000000272,2001-11-01,4.65
1970-01-01 00:00:00.000000273,2001-10-01,4.57
1970-01-01 00:00:00.000000274,2001-09-01,4.73
1970-01-01 00:00:00.000000275,2001-08-01,4.97
1970-01-01 00:00:00.000000276,2001-07-01,5.24
1970-01-01 00:00:00.000000277,2001-06-01,5.28
1970-01-01 00:00:00.000000278,2001-05-01,5.39
1970-01-01 00:00:00.000000279,2001-04-01,5.14
1970-01-01 00:00:00.000000280,2001-03-01,4.89
1970-01-01 00:00:00.000000281,2001-02-01,5.10
1970-01-01 00:00:00.000000282,2001-01-01,5.16
1970-01-01 00:00:00.000000283,2000-12-01,5.24
1970-01-01 00:00:00.000000284,2000-11-01,5.72
1970-01-01 00:00:00.000000285,2000-10-01,5.74
1970-01-01 00:00:00.000000286,2000-09-01,5.80
1970-01-01 00:00:00.000000287,2000-08-01,5.83
1970-01-01 00:00:00.000000288,2000-07-01,6.05
1970-01-01 00:00:00.000000289,2000-06-01,6.10
1970-01-01 00:00:00.000000290,2000-05-01,6.44
1970-01-01 00:00:00.000000291,2000-04-01,5.99
1970-01-01 00:00:00.000000292,2000-03-01,6.26
1970-01-01 00:00:00.000000293,2000-02-01,6.52
1970-01-01 00:00:00.000000294,2000-01-01,6.66
1970-01-01 00:00:00.000000295,1999-12-01,6.28
1970-01-01 00:00:00.000000296,1999-11-01,6.03
1970-01-01 00:00:00.000000297,1999-10-01,6.11
1970-01-01 00:00:00.000000298,1999-09-01,5.92
1970-01-01 00:00:00.000000299,1999-08-01,5.94
1970-01-01 00:00:00.000000300,1999-07-01,5.79
1970-01-01 00:00:00.000000301,1999-06-01,5.90
1970-01-01 00:00:00.000000302,1999-05-01,5.54
1970-01-01 00:00:00.000000303,1999-04-01,5.18
1970-01-01 00:00:00.000000304,1999-03-01,5.23
1970-01-01 00:00:00.000000305,1999-02-01,5.00
1970-01-01 00:00:00.000000306,1999-01-01,4.72
1970-01-01 00:00:00.000000307,1998-12-01,4.65
1970-01-01 00:00:00.000000308,1998-11-01,4.83
1970-01-01 00:00:00.000000309,1998-10-01,4.53
1970-01-01 00:00:00.000000310,1998-09-01,4.81
1970-01-01 00:00:00.000000311,1998-08-01,5.34
1970-01-01 00:00:00.000000312,1998-07-01,5.46
1970-01-01 00:00:00.000000313,1998-06-01,5.50
1970-01-01 00:00:00.000000314,1998-05-01,5.65
1970-01-01 00:00:00.000000315,1998-04-01,5.64
1970-01-01 00:00:00.000000316,1998-03-01,5.65
1970-01-01 00:00:00.000000317,1998-02-01,5.57
1970-01-01 00:00:00.000000318,1998-01-01,5.54
1970-01-01 00:00:00.000000319,1997-12-01,5.81
1970-01-01 00:00:00.000000320,1997-11-01,5.88
1970-01-01 00:00:00.000000321,1997-10-01,6.03
1970-01-01 00:00:00.000000322,1997-09-01,6.21
1970-01-01 00:00:00.000000323,1997-08-01,6.30
1970-01-01 00:00:00.000000324,1997-07-01,6.22
1970-01-01 00:00:00.000000325,1997-06-01,6.49
1970-01-01 00:00:00.000000326,1997-05-01,6.71
1970-01-01 00:00:00.000000327,1997-04-01,6.89
1970-01-01 00:00:00.000000328,1997-03-01,6.69
1970-01-01 00:00:00.000000329,1997-02-01,6.42
1970-01-01 00:00:00.000000330,1997-01-01,6.58
1970-01-01 00:00:00.000000331,1996-12-01,6.30
1970-01-01 00:00:00.000000332,1996-11-01,6.20
1970-01-01 00:00:00.000000333,1996-10-01,6.53
1970-01-01 00:00:00.000000334,1996-09-01,6.83
1970-01-01 00:00:00.000000335,1996-08-01,6.64
1970-01-01 00:00:00.000000336,1996-07-01,6.87
1970-01-01 00:00:00.000000337,1996-06-01,6.91
1970-01-01 00:00:00.000000338,1996-05-01,6.74
1970-01-01 00:00:00.000000339,1996-04-01,6.51
1970-01-01 00:00:00.000000340,1996-03-01,6.27
1970-01-01 00:00:00.000000341,1996-02-01,5.81
1970-01-01 00:00:00.000000342,1996-01-01,5.65
1970-01-01 00:00:00.000000343,1995-12-01,5.71
1970-01-01 00:00:00.000000344,1995-11-01,5.93
1970-01-01 00:00:00.000000345,1995-10-01,6.04
1970-01-01 00:00:00.000000346,1995-09-01,6.20
1970-01-01 00:00:00.000000347,1995-08-01,6.49
1970-01-01 00:00:00.000000348,1995-07-01,6.28
1970-01-01 00:00:00.000000349,1995-06-01,6.17
1970-01-01 00:00:00.000000350,1995-05-01,6.63
1970-01-01 00:00:00.000000351,1995-04-01,7.06
1970-01-01 00:00:00.000000352,1995-03-01,7.20
1970-01-01 00:00:00.000000353,1995-02-01,7.47
1970-01-01 00:00:00.000000354,1995-01-01,7.78
1970-01-01 00:00:00.000000355,1994-12-01,7.81
1970-01-01 00:00:00.000000356,1994-11-01,7.96
1970-01-01 00:00:00.000000357,1994-10-01,7.74
1970-01-01 00:00:00.000000358,1994-09-01,7.46
1970-01-01 00:00:00.000000359,1994-08-01,7.24
1970-01-01 00:00:00.000000360,1994-07-01,7.30
1970-01-01 00:00:00.000000361,1994-06-01,7.10
1970-01-01 00:00:00.000000362,1994-05-01,7.18
1970-01-01 00:00:00.000000363,1994-04-01,6.97
1970-01-01 00:00:00.000000364,1994-03-01,6.48
1970-01-01 00:00:00.000000365,1994-02-01,5.97
1970-01-01 00:00:00.000000366,1994-01-01,5.75
1970-01-01 00:00:00.000000367,1993-12-01,5.77
1970-01-01 00:00:00.000000368,1993-11-01,5.72
