date,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2021-09-30,USD,31671000000,44743000000,20145000000,13646000000,20238000000,5834000000,5599000000,12098000000,520000000,-539000000,520000000,539000000,45282000000,6000000,None,665000000,20524000000,19000000,539000000,20505000000,19966000000,21063000000,21728000000,20505000000,335418000000,174326000000,19165000000,130615000000,3411000000,28203000000,164492000000,63772000000,52469000000,58249000000,7794000000,50455000000,122731000000,6393000000,111450000000,12951000000,21103000000,183440000000,80528000000,14832000000,82030000000,3249000000,3249000000,102912000000,10050000000,53288000000,3249000000,50039000000,53288000000,10816000000,14346000000,151978000000,None,66944000000,83751000000,7510000000,24540000000,670000000,None,-4596000000,-10051000000,665000000,5810000000,-10486000000,777000000,20505000000,-3250000000,-16276000000,0,7684000000,7684000000,None,4206000000,4206000000,None,612000000,None,None,-7072000000,None,4941000000,-73000000,2021-10-26,2.27,2.07,0.2,9.6618,post-market
2021-06-30,USD,32161000000,45595000000,22025000000,13991000000,19095000000,7379000000,5687000000,13721000000,497000000,-553000000,497000000,553000000,46148000000,22000000,None,655000000,19405000000,2947000000,553000000,16458000000,16818000000,19958000000,20613000000,16458000000,333779000000,184406000000,14224000000,130334000000,2636000000,39008000000,152773000000,59715000000,51351000000,57511000000,7800000000,49711000000,122266000000,5984000000,116110000000,13393000000,15075000000,191791000000,88657000000,15163000000,88282000000,8072000000,8072000000,103134000000,9629000000,58146000000,8072000000,50074000000,58146000000,11666000000,13427000000,141988000000,None,57055000000,83111000000,7519000000,22710000000,646000000,None,16880000000,15093000000,9955000000,6452000000,11606000000,388000000,16458000000,-10853000000,-11371000000,0,7177000000,7177000000,None,4214000000,4214000000,None,450000000,None,None,-6727000000,None,522000000,36000000,2021-07-27,2.17,1.92,0.25,13.0208,post-market
2021-03-31,USD,28661000000,41059000000,20070000000,13045000000,17048000000,6409000000,5204000000,12229000000,519000000,-633000000,519000000,633000000,41692000000,6000000,None,616000000,17236000000,1779000000,633000000,15457000000,13552000000,17869000000,18485000000,15457000000,308879000000,165614000000,13702000000,125407000000,2245000000,27129000000,146065000000,54945000000,49681000000,57825000000,8127000000,49698000000,118220000000,5395000000,111705000000,11640000000,14427000000,174374000000,72193000000,13412000000,65428000000,8051000000,8051000000,102181000000,9272000000,58058000000,8051000000,50007000000,58058000000,10450000000,12941000000,134505000000,None,50735000000,82308000000,7534000000,22179000000,633000000,None,3146000000,446000000,616000000,5089000000,-290000000,329000000,15457000000,-9684000000,-13192000000,0,6930000000,6930000000,None,4221000000,4221000000,None,396000000,None,None,-6534000000,None,-730000000,-33000000,2021-04-27,1.95,1.78,0.17,9.5506,post-market
2020-12-31,USD,28882000000,42558000000,20907000000,14194000000,17897000000,6086000000,4899000000,11612000000,545000000,-571000000,545000000,571000000,43129000000,70000000,None,627000000,18337000000,2874000000,571000000,15463000000,15720000000,18908000000,19535000000,15463000000,304137000000,173973000000,14432000000,131968000000,1924000000,28020000000,133064000000,51737000000,47715000000,50774000000,6555000000,44219000000,125914000000,3794000000,117536000000,12769000000,13561000000,173901000000,67486000000,12770000000,66774000000,5387000000,5387000000,106415000000,8875000000,60523000000,5387000000,55136000000,60523000000,10527000000,12544000000,130236000000,None,44973000000,81896000000,7546000000,12516000000,576000000,None,-2914000000,3989000000,627000000,4174000000,4008000000,-788000000,15463000000,-1669000000,-13634000000,0,6535000000,6535000000,None,4230000000,4230000000,None,302000000,None,None,-6233000000,None,-2773000000,14000000,2021-01-26,2.03,1.64,0.39,23.7805,post-market
2020-09-30,USD,26152000000,36724000000,16941000000,11002000000,15876000000,5350000000,4926000000,10865000000,570000000,-589000000,None,589000000,37313000000,0,None,589000000,16124000000,2231000000,589000000,13893000000,13807000000,16713000000,17302000000,13893000000,301001000000,177077000000,17205000000,137977000000,2705000000,23951000000,126624000000,47927000000,45417000000,50813000000,6923000000,43890000000,131702000000,3103000000,120772000000,13544000000,13034000000,177609000000,70056000000,12509000000,72610000000,6497000000,6497000000,107553000000,7753000000,63552000000,6497000000,57055000000,63552000000,9476000000,11525000000,123392000000,None,39193000000,81089000000,7564000000,19335000000,583000000,None,-6439000000,-7919000000,589000000,4907000000,-8843000000,808000000,13893000000,-5371000000,-10289000000,0,6743000000,6743000000,None,3856000000,3856000000,None,545000000,None,None,-6198000000,None,3629000000,-46000000,2020-10-27,1.82,1.54,0.28,18.1818,post-market
2020-06-30,USD,25694000000,38033000000,20161000000,12339000000,13407000000,7073000000,5214000000,13036000000,595000000,-686000000,None,686000000,38033000000,0,None,588000000,13422000000,2220000000,686000000,13407000000,11712000000,14108000000,14696000000,11202000000,301311000000,181915000000,13576000000,136527000000,1895000000,32011000000,122096000000,44151000000,43197000000,50389000000,7038000000,43351000000,130044000000,2965000000,122951000000,11482000000,13138000000,183007000000,72310000000,12530000000,78360000000,3749000000,3749000000,110697000000,7671000000,63327000000,3749000000,59578000000,63327000000,10027000000,10632000000,118304000000,None,34566000000,80552000000,7571000000,18673000000,479000000,None,14318000000,12068000000,11288000000,4744000000,9355000000,251000000,13407000000,-4462000000,-12262000000,0,5791000000,5791000000,None,3865000000,3865000000,None,340000000,None,None,-5451000000,None,13407000000,-83000000,2020-07-22,1.46,1.34,0.12,8.9552,post-market
2020-03-31,USD,24046000000,34315000000,17650000000,10975000000,12975000000,6184000000,4887000000,11562000000,673000000,-614000000,153000000,614000000,34929000000,-3000000,None,491000000,12843000000,2091000000,614000000,10752000000,13683000000,13457000000,13948000000,10752000000,285449000000,170505000000,11710000000,137626000000,1644000000,22699000000,117444000000,41221000000,41512000000,48919000000,6855000000,42064000000,132104000000,2660000000,125916000000,8536000000,13696000000,170948000000,58707000000,9246000000,60794000000,3748000000,3748000000,112241000000,7248000000,66610000000,3748000000,62862000000,66610000000,9151000000,9673000000,114501000000,None,32012000000,79813000000,7590000000,17504000000,592000000,None,1160000000,-1290000000,491000000,3767000000,-891000000,-181000000,10752000000,51000000,-14645000000,0,7059000000,7059000000,None,3876000000,3876000000,None,342000000,None,None,-6717000000,None,2846000000,-64000000,2020-04-29,1.4,1.26,0.14,11.1111,post-market
2019-12-31,USD,24548000000,36322000000,18986000000,12358000000,13891000000,6054000000,4603000000,11231000000,688000000,-654000000,281000000,654000000,36976000000,-19000000,None,574000000,14085000000,2436000000,654000000,11649000000,11455000000,14739000000,15313000000,11649000000,282794000000,167074000000,8864000000,134253000000,1823000000,23525000000,118120000000,40522000000,39597000000,49374000000,7126000000,42248000000,129483000000,2755000000,125389000000,7473000000,14630000000,172685000000,59640000000,8811000000,62442000000,6247000000,6247000000,113045000000,7172000000,69608000000,6247000000,63361000000,69608000000,9131000000,9658000000,110109000000,None,30739000000,79625000000,7611000000,10680000000,563000000,None,-1500000000,3756000000,574000000,3545000000,4203000000,-799000000,11649000000,-6036000000,-8915000000,0,5206000000,5206000000,None,3886000000,3886000000,None,234000000,None,None,-4972000000,None,-4253000000,18000000,2020-01-29,1.51,1.32,0.19,14.3939,post-market
2019-09-30,USD,22649000000,32428000000,16363000000,10406000000,12686000000,5398000000,4565000000,10522000000,724000000,-637000000,139000000,637000000,33065000000,-18000000,None,559000000,12686000000,2008000000,637000000,10678000000,10957000000,13323000000,13882000000,10678000000,278955000000,165896000000,13117000000,136636000000,2622000000,19087000000,115359000000,38409000000,36971000000,49621000000,7508000000,42113000000,131971000000,2684000000,123519000000,7551000000,14455000000,172894000000,58118000000,8574000000,68052000000,3017000000,3017000000,114776000000,6659000000,69495000000,3017000000,66478000000,69495000000,8507000000,8826000000,106061000000,None,27240000000,78882000000,7634000000,13818000000,531000000,None,-9685000000,-8758000000,559000000,3385000000,-10090000000,561000000,10678000000,-1776000000,-10209000000,0,4912000000,4912000000,None,3510000000,3510000000,None,427000000,None,None,-4485000000,None,1761000000,-72000000,2019-10-23,1.38,1.25,0.13,10.4,post-market
2019-06-30,USD,23305000000,33717000000,17199000000,10412000000,12405000000,6387000000,4513000000,11300000000,709000000,-669000000,321000000,669000000,33717000000,-121000000,None,400000000,12596000000,-591000000,669000000,12405000000,14112000000,13265000000,13665000000,13187000000,286556000000,175552000000,11356000000,133819000000,2063000000,29524000000,105825000000,36477000000,35330000000,49776000000,7750000000,42026000000,129789000000,2649000000,122463000000,10146000000,14723000000,184226000000,69420000000,9382000000,74412000000,5516000000,0,108618000000,6188000000,72178000000,5516000000,66662000000,72200000000,9351000000,7581000000,102330000000,None,24150000000,78520000000,7643000000,16108000000,509000000,None,16754000000,11902000000,10100000000,4051000000,10070000000,113000000,12405000000,-7257000000,-8686000000,0,4633000000,4633000000,None,3521000000,3521000000,None,308000000,None,None,-4325000000,None,144000000,-21000000,2019-07-18,1.37,1.21,0.16,13.2231,post-market
2019-03-31,USD,20401000000,29993000000,16345000000,10170000000,10341000000,5744000000,4316000000,10491000000,668000000,-671000000,None,671000000,30664000000,16000000,None,431000000,10486000000,1677000000,671000000,8809000000,9557000000,11157000000,11588000000,8809000000,263281000000,159887000000,11212000000,131618000000,1951000000,19269000000,98273000000,33648000000,35431000000,49964000000,8103000000,41861000000,127455000000,2403000000,120406000000,7049000000,10258000000,168417000000,53861000000,7544000000,None,6515000000,0,108584000000,5972000000,73100000000,6515000000,66585000000,73100000000,7837000000,6763000000,94864000000,None,18338000000,77791000000,7666000000,13520000000,490000000,None,1087000000,59000000,431000000,2565000000,-460000000,-12000000,8809000000,-1363000000,-7601000000,0,4753000000,4753000000,None,3526000000,3526000000,None,274000000,None,None,-4479000000,None,4574000000,18000000,2019-04-24,1.14,1,0.14,14,post-market
2018-12-31,USD,20048000000,31796000000,18673000000,12423000000,10258000000,5720000000,4070000000,10320000000,704000000,-672000000,None,672000000,32468000000,34000000,None,530000000,10385000000,1965000000,672000000,8420000000,9022000000,11057000000,11587000000,8420000000,258859000000,156874000000,6638000000,127662000000,1961000000,19680000000,97079000000,32717000000,33082000000,50059000000,8482000000,41577000000,124407000000,2274000000,121024000000,7571000000,10129000000,166731000000,50318000000,7563000000,None,3516000000,0,110730000000,None,73200000000,3516000000,69653000000,73200000000,8297000000,6055000000,92128000000,None,16585000000,77556000000,7683000000,8900000000,466000000,None,-2002000000,1388000000,530000000,3707000000,2396000000,-1654000000,8420000000,-4200000000,-13216000000,0,6413000000,6413000000,None,3544000000,3544000000,None,200000000,None,None,-6213000000,None,-8499000000,17000000,2019-01-30,1.1,1.09,0.01,0.9174,post-market
2018-09-30,USD,19179000000,28615000000,15708000000,9905000000,9955000000,5247000000,3977000000,9780000000,681000000,-674000000,None,674000000,29289000000,14000000,None,556000000,10221000000,1397000000,674000000,8824000000,8463000000,10895000000,11451000000,8824000000,257619000000,164195000000,15137000000,135880000000,3614000000,17390000000,88490000000,31430000000,30953000000,43434000000,7579000000,35855000000,131941000000,2034000000,120743000000,7311000000,9792000000,171652000000,56277000000,8511000000,None,6497000000,0,109723000000,None,76200000000,6497000000,69733000000,76200000000,7953000000,5539000000,85967000000,None,17279000000,71303000000,7680000000,13657000000,452000000,None,-6206000000,-7582000000,556000000,3602000000,-9194000000,956000000,8824000000,-2953000000,-7384000000,0,3744000000,3744000000,None,3220000000,3220000000,None,360000000,None,None,-3384000000,None,3191000000,-129000000,2018-10-24,1.14,0.96,0.18,18.75,post-market
2018-06-30,USD,20343000000,30085000000,34165000000,9742000000,10379000000,6031000000,3933000000,10464000000,636000000,-672000000,None,672000000,30085000000,-61000000,None,500000000,10680000000,1807000000,672000000,10379000000,7797000000,11352000000,11852000000,8873000000,258848000000,169662000000,11946000000,133768000000,2662000000,26481000000,84300000000,29460000000,29223000000,43736000000,8053000000,35683000000,129579000000,1862000000,121822000000,6751000000,7442000000,176130000000,58488000000,8617000000,None,3998000000,0,112074000000,None,76200000000,3998000000,72242000000,76200000000,8744000000,5211000000,82718000000,None,13682000000,71223000000,7677000000,11418000000,1300000000,None,12022000000,10049000000,8200000000,3980000000,9188000000,572000000,10379000000,-2670000000,-6039000000,0,2362000000,2362000000,None,3226000000,3226000000,None,255000000,None,None,-2107000000,None,2725000000,16000000,2018-07-19,1.13,1.08,0.05,4.6296,post-market
2018-03-31,USD,17550000000,26819000000,9269000000,9269000000,8292000000,5543000000,3715000000,9818000000,575000000,-691000000,None,691000000,-52000000,7000000,None,560000000,8641000000,1217000000,691000000,7424000000,6670000000,9332000000,9892000000,7424000000,245497000000,156659000000,9221000000,132270000000,2084000000,17208000000,83579000000,27929000000,28377000000,44126000000,8544000000,35582000000,135088000000,2818000000,123049000000,5097000000,7106000000,166258000000,46133000000,7623000000,23955000000,3677000000,230000000,114374000000,None,76900000000,3447000000,73480000000,77130000000,7500000000,5223000000,79239000000,None,9974000000,70418000000,7690000000,12151000000,90000000,None,1034000000,-848000000,560000000,2934000000,-1285000000,75000000,7424000000,3844000000,-19658000000,-7373000000,3781000000,3781000000,None,3232000000,3232000000,None,251000000,None,None,-3530000000,None,-3638000000,25000000,2018-04-26,0.95,0.85,0.1,11.7647,post-market
2017-12-31,USD,17854000000,28918000000,11064000000,11064000000,8679000000,5671000000,3504000000,9737000000,530000000,-698000000,None,698000000,-144000000,34000000,None,562000000,9169000000,15471000000,698000000,-6302000000,-7227000000,9867000000,10429000000,-6302000000,256003000000,167633000000,12859000000,142780000000,2003000000,18428000000,83221000000,26304000000,26849000000,44389000000,9034000000,35355000000,146741000000,3961000000,129921000000,4422000000,6967000000,177643000000,58099000000,7850000000,23809000000,15912000000,12466000000,113904000000,None,76800000000,3446000000,73348000000,89266000000,7787000000,4820000000,78360000000,None,8567000000,70192000000,7705000000,7875000000,123000000,None,16337000000,2693000000,562000000,2586000000,3908000000,-1205000000,-6302000000,-331000000,-1552000000,3759000000,2008000000,2008000000,None,3238000000,3238000000,None,189000000,None,None,-1819000000,None,5975000000,-17000000,2018-01-31,0.96,0.86,0.1,11.6279,post-market
2017-09-30,USD,16260000000,24538000000,8278000000,8278000000,7708000000,4978000000,3574000000,9115000000,473000000,-672000000,None,672000000,-59000000,-39000000,None,563000000,7984000000,1408000000,672000000,6576000000,6475000000,8656000000,9219000000,6576000000,249097000000,161031000000,6884000000,138471000000,3211000000,14561000000,82822000000,24809000000,25523000000,44987000000,9598000000,35389000000,143814000000,5343000000,131587000000,4788000000,6083000000,159450000000,51615000000,6866000000,24904000000,9220000000,8170000000,115967000000,None,77300000000,1050000000,76255000000,85470000000,7520000000,4229000000,89647000000,None,19702000000,69419000000,7720000000,12440000000,184000000,None,-3362000000,-6330000000,563000000,2132000000,-7949000000,1023000000,6576000000,-6904000000,-6341000000,-3710000000,2570000000,2570000000,None,3003000000,3003000000,None,307000000,None,None,-2263000000,None,-779000000,26000000,2017-10-26,0.84,0.72,0.12,16.6667,post-market
